Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID,Forecast category,Original Traffic Source,Associated Company,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type
250,40-50 employees,,,69,33,5/1/2025 15:26,Event,,,,,,Sales Pipeline,33774471298,Pipeline,Offline Sources,Associated_9ea45ab3,Deal_17defa5f,,0,1250,,,0.2,Associated_9ea45ab3,FALSE,,,2/20/2025 14:06,,,FALSE,250,FALSE,,Deal_a52f6464,1250,,1250,,1,,2/20/2025 15:27,,,2/20/2025 16:28,,Opportunity,New
0,"3,000 + Agents.",,,149,13,7/20/2025 9:06,Referral Partner,,,,,,Sales Pipeline,33735737768,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0,0,,,0.05,Associated_77e18366,FALSE,,,,,,FALSE,0,FALSE,,Deal_b152b9c3,0,,0,,1,,2/20/2025 8:07,,,2/20/2025 9:08,,Partner Referrals ,New
0,5-6k agents,,,149,13,7/20/2025 9:03,Referral Partner,,,,,,Sales Pipeline,33758455618,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0,0,,,0.05,Associated_77e18366,FALSE,,,,,,FALSE,0,FALSE,,Deal_edbdb698,0,,0,,1,,2/20/2025 8:04,,,2/20/2025 9:05,,Partner Referrals ,New
0,Furthest Along - 300 agents,,,149,13,7/20/2025 8:55,Referral Partner,,,,,,Sales Pipeline,33741931267,Not forecasted,Offline Sources,Associated_77e18366,Deal_3d3dc242,,0,0,,,0.05,Associated_77e18366,FALSE,,,,,,FALSE,0,FALSE,,Deal_e5cfc33e,0,,0,,1,,2/20/2025 7:58,,,2/20/2025 8:59,,Partner Referrals ,New
10000,BPO through partnership with AmplifAI,,,120,37,6/20/2025 15:01,Master Agent,,,,,,Sales Pipeline,33724679941,Best case,Offline Sources,Associated_edbdb698,Deal_3d3dc242,,0,50000,,,0.2,Associated_edbdb698,FALSE,,,2/14/2025 15:30,,,FALSE,10000,FALSE,,Deal_edbdb698,50000,,50000,,1,,2/19/2025 14:02,,,2/19/2025 15:03,,Deep Dive. PSP Drafted,New
2750,BPO,,,149,22,7/15/2025 14:26,Customer Referral - Other,,,,,,Sales Pipeline,33514107559,Not forecasted,Offline Sources,Associated_61700669,Deal_86a875eb,,0,55000,,,0.05,Associated_61700669,FALSE,,,2/13/2025 17:00,,,FALSE,2750,FALSE,,Deal_13126190,55000,,55000,,1,,2/15/2025 14:28,,,2/15/2025 15:29,,Partner Referrals ,New
5000,Training/IC/Writing SOPs,,,149,18,7/15/2025 14:20,Other,,,,,,Sales Pipeline,33506737561,Best case,Offline Sources,Associated_754ae28b,Deal_86a875eb,,0,25000,,,0.2,Associated_754ae28b,FALSE,,,2/18/2025 10:00,,,FALSE,5000,FALSE,,Deal_bdc4c7a2,25000,,25000,,1,,2/15/2025 14:25,,,2/18/2025 11:14,,Opportunity,New
0,BPO,,,2,,2/17/2025 8:15,Customer Referral CSM,,,62:43:47,,,Sales Pipeline,33503208981,Not forecasted,Offline Sources,Associated_238a17a9,Deal_86a875eb,,1,66000,,,0,Associated_238a17a9,FALSE,,,1/23/2025 10:30,,,TRUE,0,TRUE,,Deal_2090769b,66000,,66000,,0,,2/14/2025 17:31,,,2/17/2025 8:15,,Closed Lost,New
14400,Renewal after extended POC,,,136,65,7/1/2025 16:07,Other,,,,,,Sales Pipeline,33503207262,Pipeline,Offline Sources,Associated_5aea6385,Deal_90c2529c,,0,18000,,,0.8,Associated_5aea6385,FALSE,,,2/20/2025 14:00,,,FALSE,14400,FALSE,,Deal_314b17da,18000,,18000,,1,,2/14/2025 16:09,,,2/20/2025 16:11,,Renewals ,Renewal
1050,Trial with Mahindra and 2 additional brands,,,149,39,7/14/2025 13:25,Referral Partner,,,,,,Sales Pipeline,33499007642,Closed won,Offline Sources,Associated_d828370b,Deal_bb6f872e,,0,1500,,,0.7,Associated_d828370b,FALSE,,,2/20/2025 6:30,,2/17/2025,FALSE,1050,FALSE,4/18/2025,Deal_3c2a794a,1500,,1500,,1,,2/14/2025 13:34,,,2/20/2025 16:21,,Closed Trial,New
