Parent Company,CCaaS,Annual Revenue,Target Account,Associated Contact,Number of Form Submissions,Total Agents,Web Technologies,Close Date_x,# of Agents Total,Number of times contacted,Contact with Primary Company,ICP Fit Level,Revenue range,# of Agents Contracted,Record ID_x,Time Zone,Primary Industry,Number of Pageviews,Primary Company,Year Founded,ICP,Industry group,Segmentation,LMS System,SymTrain Use Cases,Associated Company_x,BPO,SSO Application,State/Region,SymTrain Product,Contract End Date_x,SSO Implemented?,Consolidated Industry,Type,Number of Employees,BPO Program,Primary Sub-Industry,Number of Sessions,WFM,Country/Region,Industry,Create Date_x,Company name,Last Modified Date_x,BPO Program Tier,Create_Year_x,Create_Month_x,Create_Quarter_x,Create_YearMonth,Industry_Standardized,Company_Size_Category,Revenue_Category,Region,Technology_Count,Uses_Google_Tag_Manager,Is_BPO,Weighted amount,Deal Description,"Cumulative time in ""BANT Deal. Pain ID'ed (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Opportunity (Sales Pipeline)"" (HH:mm:ss)",Days to close,Deal Score,Close Date_y,Deal source attribution 2,"Cumulative time in ""In Trial - Trial in Progress (Sales Pipeline)"" (HH:mm:ss)",Contract Start Date,"Cumulative time in ""Partner Referrals  (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Closed Lost (Sales Pipeline)"" (HH:mm:ss)","Cumulative time in ""Deep Dive. PSP Drafted (Sales Pipeline)"" (HH:mm:ss)",Pipeline,Record ID_y,Forecast category,Original Traffic Source,Associated Company_y,Deal owner,Annual contract value,Is Closed (numeric),Amount in company currency,Annual recurring revenue,Monthly recurring revenue,Deal probability,Associated Company (Primary),Is Closed Won,Forecast probability,Contract End Date_y,Last Activity Date,Contract Term (Months),Trial Start date,Is closed lost,Weighted amount in company currency,Is Deal Closed?,Trial End Date,Deal Name,Amount,"Cumulative time in ""Closed Trial (Sales Pipeline)"" (HH:mm:ss)",Forecast amount,"Cumulative time in ""Negotiation (Sales Pipeline)"" (HH:mm:ss)",Is Open (numeric),"Cumulative time in ""Renewals  (Sales Pipeline)"" (HH:mm:ss)",Create Date_y,"Cumulative time in ""Contract Sent (Sales Pipeline)"" (HH:mm:ss)",Total contract value,Last Modified Date_y,"Cumulative time in ""Closed Won (Sales Pipeline)"" (HH:mm:ss)",Deal Stage,Deal Type,Create_Year_y,Create_Month_y,Create_Quarter_y,Close_Year,Close_Month,YearMonth,Deal_Size_Category,comp_id,Target_Won
,,10690278.0,,Contact_1b1b4334,0.0,,Microsoft Exchange Online; Salesforce; App Nexus; Adobe Dynamic Tag Management; MediaMath; Marketo; Outlook,,,2.0,Company_1b1b4334,,,,9364308545,Asia/Tokyo,Manufacturing,0.0,,1882.0,,,,,,,,,Tokyo,,2024-07-30,,Consumer Goods,Prospect,33409.0,,"Cosmetics, Beauty Supply & Personal Care Products",0.0,,Japan,Personal Care,2022-08-11 16:58:00,Company_3073b79b,2025-02-14 13:39,,2022,8,3,2022-08,Personal Care,Unknown,$10M-$50M,Asia,7,0,0,0.0,New Enterprise Opportunity,559:23:34,,152.0,,2023-01-11 11:55:00,SymTrain EE name,,2022-08-01,,,,Sales Pipeline,9794988112,Not forecasted,Offline Sources,Associated_3073b79b,Deal_bb6f872e,,1.0,45000.0,,,0.0,Associated_3073b79b,False,,2024-07-30,,24.0,,True,0.0,True,,Deal_fefe94c1,45000.0,,45000.0,,0.0,,2022-08-11 17:11:00,,,2024-12-18 14:33,,Closed Lost,New,2022,8,3,2023.0,1.0,2022-08,Small,9364308545,0
,,10689000.0,,Contact_e50c95b4,0.0,,Google Analytics; PayPal; Google Tag Manager; Salesforce; Twitter Button; Success Factors,,,33.0,Company_e43b5553,Tier 1: Ideal Fit,,,9366087515,America/New_York,Holding Companies & Conglomerates,0.0,,1903.0,Yes,,,,,,,,Georgia,,,,Consumer Goods,Suspect,31000.0,,,0.0,Verint,United States,Household Products,2022-08-12 03:53:00,Company_6e2a5efe,2025-02-18 15:44,,2022,8,3,2022-08,Household Products,Unknown,$10M-$50M,North America,6,1,0,0.0,,,,128.0,,2022-12-20 11:51:00,SymTrain EE name,,,,,,Sales Pipeline,9817334075,Not forecasted,Offline Sources,Associated_6e2a5efe,Deal_f4107d94,,1.0,55000.0,,,0.0,Associated_6e2a5efe,False,,,,,,True,0.0,True,,Deal_68e3bfcc,55000.0,,55000.0,,0.0,,2022-08-14 07:46:00,,,2024-12-16 13:01,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,9366087515,0
,,1000000000.0,,Contact_5f5c9ece,0.0,,Wistia; Salesforce; Apache; App Nexus; Pardot; Dstillery; Google Analytics; Cloudinary; Visual Website Optimizer; Adobe Dynamic Tag Management; Recaptcha; Hotjar; Google Tag Manager,,,36.0,Company_5f5c9ece,,,,9366136383,America/New_York,Finance,0.0,,1977.0,,,,,,,,,FL,,,,Banking,Suspect,5000.0,,Credit Cards & Transaction Processing,0.0,,United States,Finance Services,2022-08-12 03:53:00,Company_c6de7a90,2025-02-17 13:10,,2022,8,3,2022-08,Finance Services,Unknown,>$100M,North America,13,1,0,0.0,,,,128.0,,2022-12-20 11:15:00,SymTrain EE name,,,,,,Sales Pipeline,9817334090,Not forecasted,Offline Sources,Associated_c6de7a90,Deal_72497bc0,,1.0,25000.0,,,0.0,Associated_c6de7a90,False,,,,,,True,0.0,True,,Deal_fb3a2747,25000.0,,25000.0,,0.0,,2022-08-14 07:46:00,,,2025-01-31 08:47,,Closed Lost,Growth,2022,8,3,2022.0,12.0,2022-08,Small,9366136383,0
,,518074.0,,Contact_4e257933,0.0,,Route 53; Wordpress; Wistia; Google Tag Manager; Mandrill; Salesforce; Gravity Forms; Marketo; Recaptcha; Google Analytics; Drift,,,0.0,Company_4e257933,,,,9366140751,America/New_York,Software,0.0,,2006.0,,,,,,,,,Georgia,,,,Banking,Suspect,900.0,,Financial Software,0.0,,United States,Finance Services,2022-08-12 03:53:00,Company_15832914,2025-02-14 13:39,,2022,8,3,2022-08,Finance Services,Unknown,<$1M,North America,11,1,0,0.0,,,,128.0,,2022-12-20 11:50:00,Referral Partner,,,,,,Sales Pipeline,9817320072,Not forecasted,Offline Sources,Associated_15832914,Deal_72497bc0,,1.0,0.0,,,0.0,Associated_15832914,False,,,,,,True,0.0,True,,Deal_9a65c494,0.0,,0.0,,0.0,,2022-08-14 07:46:00,,,2024-01-12 17:56,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,9366140751,0
,,3023000.0,,Contact_3fe5e869,0.0,,Microsoft Exchange Online; Trustpilot; Facebook Advertiser; Salesforce; App Nexus; Cloud Flare; Amazon S3; Google Analytics; New Relic; Ruby On Rails; Recaptcha; Qualaroo; Hotjar; Google Tag Manager; Optimizely; Bing Advertiser; Zendesk; Microsoft Office 365; Vimeo; Outlook,,,97.0,Company_a8e60a11,,,,9366155050,America/Chicago,Finance,0.0,,1994.0,,,,,,,,,Texas,,,,Banking,Suspect,7700.0,,Lending & Brokerage,0.0,Verint,United States,Finance Services,2022-08-12 03:53:00,Company_7219271b,2025-02-14 13:39,,2022,8,3,2022-08,Finance Services,Unknown,$1M-$10M,North America,20,1,0,,TBD,,,128.0,,2022-12-20 11:55:00,Other,,,,,,Sales Pipeline,9817329956,Not forecasted,Offline Sources,Associated_7219271b,Deal_96aa4419,,1.0,,,,0.0,Associated_7219271b,False,,,,,,True,,True,,Deal_d8f04a0c,,,,,0.0,,2022-08-14 07:46:00,,,2024-12-16 13:44,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Unknown,9366155050,0
,,189097.0,,Contact_edd5e5e9,0.0,,Amazon Simple Email Service; Route 53; Trustpilot; Facebook Advertiser; Salesforce; App Nexus; Segment; Cloud Flare; Mailchimp; Sendgrid; Mailgun; Help Scout; Google Analytics; Google Apps; Heap; Sentry; Typekit By Adobe; Google Tag Manager; Optimizely; Zendesk,,,1.0,Company_edd5e5e9,,,,9366059421,America/Chicago,Finance,0.0,,2012.0,,,,,,,,,Illinois,,,,Banking,Suspect,550.0,,Banking,0.0,,United States,Finance Services,2022-08-12 03:53:00,Company_17374d83,2025-02-14 13:39,,2022,8,3,2022-08,Finance Services,Unknown,<$1M,North America,20,1,0,0.0,Courtney shared that 2-3 projects on new systems a...,,,128.0,,2022-12-20 11:20:00,SymTrain EE name,,,,,,Sales Pipeline,9817302616,Not forecasted,Offline Sources,Associated_17374d83,Deal_72497bc0,,1.0,25000.0,,,0.0,Associated_17374d83,False,,,,,,True,0.0,True,,Deal_b105af2b,25000.0,,25000.0,,0.0,,2022-08-14 07:46:00,,,2024-01-12 17:56,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,9366059421,0
,,8523762.0,,Contact_8e5affb7,0.0,,Trustpilot; App Nexus; AdRoll; Google Analytics; Visual Website Optimizer; Google Tag Manager; MediaMath; Facebook Advertiser; Salesforce; Woo Commerce; Stripe; Pardot; Dstillery; Recaptcha; Facebook Connect; Amazon S3; DoubleClick Ads; MaxCDN,,,30.0,Company_798d729e,,,,10557622578,America/Chicago,Software,0.0,,1967.0,,,Enterprise,,,,,,Georgia,,,,Banking,Suspect,10000.0,,Financial Software,0.0,,United States,Finance Services,2022-08-12 03:53:00,Company_8f7a7217,2025-02-20 16:58,,2022,8,3,2022-08,Finance Services,Unknown,$1M-$10M,North America,18,1,0,0.0,"HALTED SALES ACTIVITY - Typhoon
Focus on assisting...",,,128.0,,2022-12-20 11:30:00,Other,,,,,,Sales Pipeline,9817306699,Not forecasted,Offline Sources,Associated_8f7a7217,Deal_bb6f872e,,1.0,24000.0,,,0.0,Associated_8f7a7217,False,,,,,,True,0.0,True,,Deal_ef17a5a8,24000.0,,24000.0,,0.0,,2022-08-14 07:46:00,,,2024-12-18 13:25,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Small,10557622578,0
,,799996.0,,Contact_ddc10039,0.0,,Unbounce; App Nexus; Google Tag Manager; Microsoft Office 365; Salesforce; Add To Any; Crazy Egg; Dstillery; Drupal; New Relic,,,64.0,Company_55b090a9,,,,9366110525,America/New_York,Finance,0.0,,2005.0,,,Enterprise,,,,,,Iowa,,,,Banking,Suspect,25000.0,,Investment Banking,0.0,,United States,Finance Services,2022-08-12 03:53:00,Company_951452f2,2025-02-14 13:39,,2022,8,3,2022-08,Finance Services,Unknown,<$1M,North America,10,1,0,,,,,128.0,,2022-12-20 11:49:00,Other,,,,,,Sales Pipeline,9817320073,Not forecasted,Offline Sources,Associated_951452f2,Deal_96aa4419,,1.0,,,,0.0,Associated_951452f2,False,,,,,,True,,True,,Deal_1f724005,,,,,0.0,,2022-08-14 07:46:00,,,2024-09-03 10:44,,Closed Lost,New,2022,8,3,2022.0,12.0,2022-08,Unknown,9366110525,0
,,72761000.0,True,Contact_4d42ecde,373.0,,Akamai; Google Analytics; Omniture; ShareThis; Outbrain Ads,2023-05-05 11:50,40000.0,905.0,Company_fe606783,,,,9355871862,America/New_York,Finance,609.0,,1812.0,,,Client,,,,,,New York,,2023-12-31,Yes,Banking,Customer,239000.0,,Banking,388.0,,United States,Finance Services,2022-08-10 13:54:00,Company_4019582e,2025-02-20 11:43,,2022,8,3,2022-08,Finance Services,Unknown,$50M-$100M,North America,5,0,0,0.0,,1227:13:40,,264.0,,2023-12-31 11:13:00,SymTrain EE name,,,,,,Sales Pipeline,12925391644,Closed won,Offline Sources,Associated_4019582e,Deal_90c2529c,,1.0,0.0,,,1.0,Associated_4019582e,True,,,2024-05-30 11:47,,,False,0.0,True,,Deal_a5f59232,0.0,,0.0,,0.0,00:03:05,2023-04-11 08:19:00,,,2025-02-20 11:21,,Closed Won,Renewal,2023,4,2,2023.0,12.0,2023-04,Small,9355871862,1
,,72761000.0,True,Contact_4d42ecde,373.0,,Akamai; Google Analytics; Omniture; ShareThis; Outbrain Ads,2023-05-05 11:50,40000.0,905.0,Company_fe606783,,,,9355871862,America/New_York,Finance,609.0,,1812.0,,,Client,,,,,,New York,,2023-12-31,Yes,Banking,Customer,239000.0,,Banking,388.0,,United States,Finance Services,2022-08-10 13:54:00,Company_4019582e,2025-02-20 11:43,,2022,8,3,2022-08,Finance Services,Unknown,$50M-$100M,North America,5,0,0,15400.0,Renewal of the 2023 unlimited license model,3337:02:30,,292.0,,2023-11-21 15:33:00,SymTrain EE name,90:15:18,,,,,Sales Pipeline,11993267974,Closed won,Offline Sources,Associated_4019582e,Deal_de6502bd,,1.0,15400.0,,,1.0,Associated_4019582e,True,,,2024-05-30 11:47,,,False,15400.0,True,,Deal_5963c156,15400.0,,15400.0,697:07:05,0.0,,2023-02-02 12:19:00,526:58:11,,2025-02-20 11:21,,Closed Won,Growth,2023,2,1,2023.0,11.0,2023-02,Large,9355871862,1
,,72761000.0,True,Contact_4d42ecde,373.0,,Akamai; Google Analytics; Omniture; ShareThis; Outbrain Ads,2023-05-05 11:50,40000.0,905.0,Company_fe606783,,,,9355871862,America/New_York,Finance,609.0,,1812.0,,,Client,,,,,,New York,,2023-12-31,Yes,Banking,Customer,239000.0,,Banking,388.0,,United States,Finance Services,2022-08-10 13:54:00,Company_4019582e,2025-02-20 11:43,,2022,8,3,2022-08,Finance Services,Unknown,$50M-$100M,North America,5,0,0,72200.0,New opportunity to extend the current term to 12/3...,,,128.0,,2022-12-20 11:12:00,SymTrain EE name,,2021-09-01,,,,Sales Pipeline,9816968255,Closed won,Offline Sources,Associated_4019582e,Deal_96aa4419,,1.0,72200.0,,,1.0,Associated_4019582e,True,,2021-12-31,,4.0,,False,72200.0,True,,Deal_882f2ccb,72200.0,,72200.0,,0.0,,2022-08-14 07:46:00,,,2025-02-20 11:21,,Closed Won,New,2022,8,3,2022.0,12.0,2022-08,Enterprise,9355871862,1
